Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Ferragamo,Clutch Bags,,,,Made in Italy,1,899
Jacquemus,Mini Bags,calf leather,blue,New Season,Made in Italy,1,620
Jacquemus,Tote Bags,calf suede,beige,,Made in Italy,0,951
Tory Burch,Tote Bags,logo patch to the front,black,Conscious,,1,315
Tory Burch,Messenger & Crossbody Bags,,,,,0,390
Jacquemus,Mini Bags,leather,dark yellow,New Season,Made in Italy,1,745
Tory Burch,Shoulder Bags,,,,,0,612
Tory Burch,Shoulder Bags,calf leather,black,,,1,830
Ferragamo,Tote Bags,leather,black,,Made in Italy,1,1130
Stella McCartney,Messenger & Crossbody Bags,,,Conscious,Made in Italy,0,621
Balmain,Clutch Bags,cotton-eco linen blend,off-white/brown,New Season,,0,980
Dolce & Gabbana,Shoulder Bags,calf leather,black,,Made in Italy,1,1936
Stella McCartney,Tote Bags,faux-leather,black,Conscious,Made in Italy,1,1163
Dolce & Gabbana,Shoulder Bags,,,,Made in Italy,0,1493
Comme Des Garçons Wallet,Clutch Bags,,,,,0,180
MM6 Maison Margiela,Tote Bags,calf leather/ramie,black,,,0,275
Perfect Moment,Belt Bags,quilted,black/white,New Season,,1,178
See by Chloé,Messenger & Crossbody Bags,,,,,0,410
Tory Burch,Clutch Bags,leather,black,,,1,397
Tory Burch,Tote Bags,,,New Season,,0,520
DeMellier,Tote Bags,calf leather,black,New Season,,0,533
Balmain,Tote Bags,calfskin trim,jet black,New Season,Made in Italy,1,1715
Tory Burch,Messenger & Crossbody Bags,calf leather,black,,,0,790
Tory Burch,Messenger & Crossbody Bags,calf leather,beige,,,0,569
Ferragamo,Backpacks,leather,black,,Made in Italy,1,1000
Versace,Shoulder Bags,leather,black,,Made in Italy,1,2095
Tory Burch,Shoulder Bags,leather,light brown,,,0,775
Valentino Garavani,Messenger & Crossbody Bags,calf leather,nude pink ,,Made in Italy,1,1720
Isabel Marant,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,910
Tory Burch,Tote Bags,calf leather,dark green,New Season,,0,255
Balmain,Messenger & Crossbody Bags,calf leather/cotton blend,black/ivory white,New Season,Made in Italy,1,2260
Jacquemus,Tote Bags,faux-shearling design,beige,,,1,750
Benedetta Bruzziches,Shoulder Bags,silk,multicolour,New Season,Made in Italy,0,889
Versace,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1115
MM6 Maison Margiela,Tote Bags,logo-debossed strap,black,New Season,,0,293
DeMellier,Tote Bags,calf leather,brown,New Season,,0,540
Jacquemus,Mini Bags,leather,black,,,1,250
Tory Burch,Messenger & Crossbody Bags,calf leather,black,,,1,397
Tory Burch,Messenger & Crossbody Bags,embossed logo to the front,new cream,,,0,595
Tory Burch,Messenger & Crossbody Bags,,,,,0,415
Tory Burch,Shoulder Bags,,,,,0,515
Tory Burch,Messenger & Crossbody Bags,calf leather,black,New Season,,0,425
Tory Burch,Bucket Bags,calf leather,black,New Season,,1,465
Wandler,Shoulder Bags,calf leather,shell beige,New Season,Made in Italy,0,710
Stella McCartney,Messenger & Crossbody Bags,faux leather,moss grey,Conscious,Made in Italy,1,659
Tory Burch,Messenger & Crossbody Bags,leather,black,,,1,622
Tory Burch,Shoulder Bags,calf leather,sand beige,New Season,,1,780
Tory Burch,Shoulder Bags,lambskin,pebblestone brown,New Season,,1,620
Floyd,Luggage,aluminium,pacific blue,,,1,579
