Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Chiara Ferragni,Clutch Bags,faux leather,black,,,0,102
SANDRO,Tote Bags,calf leather,emerald green,Exclusive,Made in Italy,0,445
PINKO,Messenger & Crossbody Bags,,,,,0,293
Saint Laurent,Clutch Bags,calf leather,fuschia pink,,Made in Italy,0,775
Saint Laurent,Messenger & Crossbody Bags,leather,taupe brown,,Made in Italy,1,1750
Coach,Shoulder Bags,leather,chalk white,,,0,469
Coach,Shoulder Bags,calf leather,dark stone brown,New Season,,0,574
Dsquared2,Backpacks,signature Icon motif,black,,,0,521
Marc Jacobs,Tote Bags,leather,cement,,,1,599
Dolce & Gabbana,Shoulder Bags,,,,Made in Italy,0,1770
Elisabetta Franchi,Tote Bags,rectangle shape,beige/black,New Season,,0,480
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,black,,,0,128
Balenciaga,Tote Bags,leather,black,Conscious,Made in Italy,1,1065
Karl Lagerfeld,Messenger & Crossbody Bags,denim trim,denim blue ,,,0,128
See by Chloé,Messenger & Crossbody Bags,leather,graphite blue,,,1,465
Zac Zac Posen,Messenger & Crossbody Bags,calf suede,jet black,,,0,309
Versace Jeans Couture,Shoulder Bags,faux leather,jet black,,,1,272
Stella McCartney,Shoulder Bags,,,Conscious,Made in Italy,0,953
PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,1,420
Saint Laurent,Clutch Bags,,,,Made in Italy,0,1790
Saint Laurent,Clutch Bags,calf leather,white,,Made in Italy,1,775
Balenciaga,Shoulder Bags,calf leather,purple,Conscious,Made in Italy,0,2100
Karl Lagerfeld,Messenger & Crossbody Bags,bouclé construction,black/white,,,0,156
Off-White,Shoulder Bags,pink,dark pink,,Made in Italy,1,856
Michael Michael Kors,Shoulder Bags,cotton lining,caramel brown,,,1,338
BY FAR,Shoulder Bags,,,,,0,446
Balmain,Tote Bags,two-tone design,white/red,,Made in Italy,0,724
Marc Jacobs,Tote Bags,leather,brown,,,0,571
Saint Laurent,Clutch Bags,leather,light brown,,Made in Italy,1,1790
Saint Laurent,Mini Bags,,,,Made in Italy,0,2390
Karl Lagerfeld,Messenger & Crossbody Bags,lambskin,jet black,,,0,223
Elisabetta Franchi,Tote Bags,monogram jacquard,black/white,New Season,,1,549
Simone Rocha,Mini Bags,coated finish,pearl white,,,1,670
Saint Laurent,Clutch Bags,leather and cotton-blend,burgundy-red,,Made in Italy,1,825
PINKO,Shoulder Bags,faux leather,black,,,0,185
Saint Laurent,Shoulder Bags,calf leather,black,,Made in Italy,1,2650
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,1,3150
Ferragamo,Tote Bags,canvas,cardinal red/beige,,Made in Italy,1,1087
AMI Paris,Messenger & Crossbody Bags,calf leather,black,,,1,469
Burberry,Tote Bags,leather,soft pink,New Season,Made in Italy,1,1339
Saint Laurent,Messenger & Crossbody Bags,,,,Made in Italy,0,1550
Michael Michael Kors,Tote Bags,,,,,0,150
TOM FORD,Tote Bags,,,,Made in Italy,0,1187
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,rose red,,,0,128
Karl Lagerfeld,Tote Bags,organic cotton,black,Conscious,,0,50
Saint Laurent,Tote Bags,leather,taupe,,Made in Italy,0,2400
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,1,3050
Karl Lagerfeld,Mini Bags,faux leather,white/black,,,0,72
Love Moschino,Messenger & Crossbody Bags,,,,,0,78
Gucci,Shoulder Bags,canvas/leather,brown/multicolour,,Made in Italy,0,1820
GANNI,Shoulder Bags,logo plaque,black,Conscious,,1,244
Jacquemus,Tote Bags,calf leather,blue,New Season,Made in Italy,1,832
SANDRO,Tote Bags,calf leather/cotton,noir-black,Conscious,,0,360
Versace Jeans Couture,Tote Bags,all-over logo print,multicolour,,,0,180
Gucci,Shoulder Bags,,,,Made in Italy,0,1485
Patrizia Pepe,Shoulder Bags,calf leather,dark blazon purple,,Made in Italy,0,166
Coccinelle,Backpacks,calf leather,black,,,0,302
Ferragamo,Tote Bags,calf leather,black/brown,,Made in Italy,0,3139
Karl Lagerfeld,Shoulder Bags,recycled leather blend,jet black,Conscious,,0,270
PINKO,Mini Bags,calf leather,light pink,,,1,273
Supreme,Belt Bags,logo patch to the front,black,New Season,,1,135
Karl Lagerfeld,Shoulder Bags,logo plaque,taupe-brown,,,0,288
Gucci,Shoulder Bags,leather,pink,,Made in Italy,1,985
Alexander McQueen,Messenger & Crossbody Bags,leather,green ,,Made in Italy,1,990
Ferragamo,Shoulder Bags,leather,olive green,,Made in Italy,1,1349
Balenciaga,Mini Bags,leather,black,Conscious,,1,1020
Dsquared2,Clutch Bags,raffia,tan beige,,Made in Italy,0,259
Marni,Tote Bags,raffia ,beige,,Made in Italy,1,861
Mulberry,Tote Bags,leather,oak brown,New Season,Made in United Kingdom,0,1550
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,black,,,0,156
Floyd,Luggage,aluminium ,grey ,,,1,579
Marc Jacobs,Shoulder Bags,leather,beige,,,1,306
Proenza Schouler White Label,Bucket Bags,calfskin,red,,,1,330
Versace,Tote Bags,leather,fuchsia pink/lilac,,Made in Italy,0,1167
Chiara Ferragni,Backpacks,all-over motif embroidery,pink,,,1,172
Chiara Ferragni,Messenger & Crossbody Bags,embossed detail,light pink,,,0,151
Saint Laurent,Shoulder Bags,calf leather,black,,Made in Italy,1,2850
Coccinelle,Shoulder Bags,calf leather,black,,,0,379
Versace,Tote Bags,leather,hot pink,,Made in Italy,0,1290
Saint Laurent,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,2290
Saint Laurent,Tote Bags,calf leather,light pink,New Season,Made in Italy,0,1546
Versace Jeans Couture,Tote Bags,faux leather,fuchsia pink,,,0,187
Patrizia Pepe,Messenger & Crossbody Bags,calf leather,light blue,New Season,Made in Italy,1,285
Saint Laurent,Messenger & Crossbody Bags,calf leather,dark beige,,Made in Italy,1,2650
Versace Jeans Couture,Tote Bags,faux leather,black,,,1,154
Versace Jeans Couture,Shoulder Bags,logo lettering,fuchsia pink,,,0,144
Diesel,Shoulder Bags,logo plaque,bright green,New Season,,1,523
Dolce & Gabbana,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1327
Ferragamo,Tote Bags,leather,black,,Made in Italy,0,2551
Saint Laurent,Messenger & Crossbody Bags,leather,taupe,,Made in Italy,1,1990
LIU JO,Messenger & Crossbody Bags,,,,,0,144
Saint Laurent,Clutch Bags,canvas,natural hay/beige,,Made in Italy,1,595
Off-White,Tote Bags,calf leather,black/white,,Made in Italy,1,809
Versace Jeans Couture,Tote Bags,faux leather,black/versace gold,,,0,134
Alexander McQueen,Tote Bags,leather,brown,,Made in Italy,1,1177
Marc Jacobs,Tote Bags,cotton,slate green,,,0,234
Versace Jeans Couture,Messenger & Crossbody Bags,embossed detail,black,,,1,284
Saint Laurent,Tote Bags,bos taurus,black,,Made in Italy,1,3100
Jimmy Choo,Clutch Bags,,,,Made in Italy,0,825
Saint Laurent,Shoulder Bags,calf leather,brown ash grey,New Season,Made in Italy,0,3150
LIU JO,Tote Bags,gold-tone hardware,black,,,0,124
Jacquemus,Messenger & Crossbody Bags,calf leather,brown,,Made in Italy,1,749
Saint Laurent,Shoulder Bags,leather,white,,Made in Italy,0,2850
Balenciaga,Tote Bags,leather,black,Conscious,Made in Italy,1,2400
Saint Laurent,Messenger & Crossbody Bags,calf leather,beige,,Made in Italy,1,1550
Chiara Ferragni,Shoulder Bags,slub texture,black,,,1,218
Marc Jacobs,Shoulder Bags,leather,cream white,,,0,470
The North Face,Backpacks,logo print to the front,black,Conscious,,0,57
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,lilac,,,1,151
Karl Lagerfeld,Tote Bags,calf leather-organic cotton blend,off-white,Conscious,,0,156
Karl Lagerfeld,Shoulder Bags,padded design,black,Conscious,,1,167
Karl Lagerfeld,Tote Bags,sheepskin,pink/black,,,0,128
Gucci,Messenger & Crossbody Bags,,,,Made in Italy,0,1605
BOSS Kidswear,Tote Bags,all-over logo print,navy blue,,,0,174
Furla,Tote Bags,leather,light purple,New Season,,0,342
Coach,Shoulder Bags,leather,aqua blue,New Season,,1,725
A.P.C.,Shoulder Bags,leather,black,,,1,689
MSGM,Tote Bags,cotton blend,black/grey,,,0,158
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,apple green,New Season,Made in Italy,1,940
PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,0,414
Michael Michael Kors,Tote Bags,,,,,0,314
Jimmy Choo,Clutch Bags,,,,Made in Italy,0,779
Saint Laurent,Shoulder Bags,leather,dark green,,Made in Italy,0,2650
Chiara Ferragni,Clutch Bags,,,,,0,176
Coccinelle,Tote Bags,calf leather,jet black,New Season,Made in Italy,1,210
Balenciaga,Messenger & Crossbody Bags,,,Conscious,,0,960
Jacquemus,Shoulder Bags,sheepskin/shearling,ivory white,,Made in Italy,0,1547
Karl Lagerfeld,Tote Bags,organic cotton,cream white,Conscious,,0,50
Balenciaga,Tote Bags,mesh panelling,black,Conscious,,1,1575
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather/cotton,black,,,0,193
Proenza Schouler,Shoulder Bags,lamb-skin,pumpkin spice,,Made in Italy,1,775
Off-White,Clutch Bags,leather,light olive green,,Made in Italy,0,758
Marc Jacobs,Messenger & Crossbody Bags,gold-tone logo plaque,rose pink,,,1,408
Stella McCartney,Shoulder Bags,,,Conscious,Made in Italy,0,869
See by Chloé,Bucket Bags,calf leather/cotton,black,,,0,307
Michael Michael Kors,Messenger & Crossbody Bags,coated canvas,brown,,,0,287
Alexander McQueen,Tote Bags,calf leather,brown,New Season,Made in Italy,1,1990
Chloé,Tote Bags,linen blend,beige/auburn brown,New Season,Made in Italy,0,1139
Jimmy Choo,Tote Bags,,,,,0,1050
Marc Jacobs,Messenger & Crossbody Bags,calf leather,black,,,0,1020
PINKO,Tote Bags,gold-tone logo plaque,jet black,New Season,,1,222
Chiara Ferragni,Messenger & Crossbody Bags,faux leather,black,,,0,211
Dolce & Gabbana,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1101
Marc Jacobs,Messenger & Crossbody Bags,leather,blue,,,0,306
A.P.C.,Tote Bags,cotton blend,black/white,New Season,,1,234
Balenciaga,Messenger & Crossbody Bags,leather,black,Conscious,Made in Italy,1,2100
Vivienne Westwood,Messenger & Crossbody Bags,,,New Season,Made in Italy,0,228
Versace Jeans Couture,Messenger & Crossbody Bags,logo plaque,black,,,1,234
Michael Michael Kors,Messenger & Crossbody Bags,all-over logo print,white/camel,,,0,162
Furla,Tote Bags,leather,black,,,1,426
Chiara Ferragni,Shoulder Bags,gold-tone stud detailing,baby pink,,,0,218
Chiara Ferragni,Clutch Bags,stud detailing,rose pink,,,1,161
Alexander McQueen,Tote Bags,leather ,brown,,Made in Italy,0,1990
Furla,Tote Bags,leather,champagne,New Season,,0,282
Marni,Tote Bags,,,,Made in Italy,1,1427
PINKO,Shoulder Bags,calf leather,mint green,,,0,218
Maison Margiela,Tote Bags,,,,Made in Italy,0,2091
Chiara Ferragni,Tote Bags,velvet effect,black/pink,,,0,176
Jacquemus,Tote Bags,calf leather,light green,,Made in Italy,1,832
GANNI,Messenger & Crossbody Bags,recycled leather,bubblegum pink,Conscious,,0,122
Balenciaga,Shoulder Bags,,,Conscious,Made in Italy,1,955
Michael Michael Kors,Backpacks,,,,,0,420
Balenciaga,Tote Bags,leather,black,Conscious,Made in Italy,1,2450
Valentino Garavani,Tote Bags,calf leather,black,,Made in Italy,1,1399
Coach,Shoulder Bags,calf leather,navy blue,New Season,,0,374
Gucci,Messenger & Crossbody Bags,GG Supreme canvas,beige/ebony,,Made in Italy,1,1555
Chiara Ferragni,Shoulder Bags,velvet effect,jet black,,,0,201
Chiara Ferragni,Shoulder Bags,embossed logo to the front,light blue,,,1,173
Chiara Ferragni,Clutch Bags,gold-tone stud detailing,light pink,,,0,113
Thom Browne,Clutch Bags,silk,multicolour,,,1,618
Alexander McQueen,Mini Bags,calf leather,black,,Made in Italy,0,1217
Tory Burch,Shoulder Bags,leather,brown,,,1,893
Love Moschino,Messenger & Crossbody Bags,gold-tone logo plaque,dark purple,,,0,78
Balenciaga,Tote Bags,calf leather,black,Conscious,Made in Italy,1,1700
Ferragamo,Tote Bags,,,,Made in Italy,0,2818
Marc Jacobs,Tote Bags,calf leather,cement grey,,,1,645
Karl Lagerfeld,Shoulder Bags,bouclé construction,black/white,,,0,184
Balenciaga,Tote Bags,leather,black,Conscious,Made in Italy,1,2600
Love Moschino,Backpacks,gold-tone hardware,jet black,,,0,280
AMI Paris,Mini Bags,leather,black,,,1,245
Emporio Armani,Tote Bags,calf leather,beige,,,0,219
Versace Jeans Couture,Tote Bags,padded design,black/gold-tone,,,1,189
Saint Laurent,Messenger & Crossbody Bags,,,,Made in Italy,0,2850
Saint Laurent,Shoulder Bags,calf leather,cream white,New Season,Made in Italy,0,1690
Jimmy Choo,Clutch Bags,,,,Made in Italy,0,1050
Jimmy Choo,Shoulder Bags,leather,white,,Made in Italy,1,2025
Jimmy Choo,Tote Bags,stain/leather,ivory-white,,Made in Italy,1,2025
Jimmy Choo,Mini Bags,leather,latte white,,Made in Italy,1,1295
Saint Laurent,Clutch Bags,calf leather,dark beige ,,Made in France,1,1490
Marc Jacobs,Bag Accessories,charm detail,silver-tone,,,0,195
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,1,2950
Saint Laurent,Shoulder Bags,calf leather,sage green,,Made in Italy,0,2957
Furla,Messenger & Crossbody Bags,lambskin,white,,,0,260
Jimmy Choo,Bucket Bags,calf leather,brown,,Made in Italy,1,1895
Gucci,Shoulder Bags,,,,Made in Italy,0,2870
Michael Michael Kors,Tote Bags,,,,,0,354
Diesel,Backpacks,embroidered logo,black,Conscious,,0,106
Michael Michael Kors,Tote Bags,leather,black,,,0,300
Saint Laurent,Shoulder Bags,leather,camel brown,,Made in France,1,3300
Jacquemus,Tote Bags,logo plaque,khaki,New Season,Made in Italy,1,640
Balenciaga,Tote Bags,,,Conscious,Made in Italy,0,1950
Moschino Kids,Shoulder Bags,cotton,grey/multicolour,,,0,252
Valentino Garavani,Tote Bags,leather ,powder pink ,,Made in Italy,1,2522
Furla,Messenger & Crossbody Bags,leather,dark pink,,,1,112
Alexander McQueen,Bucket Bags,leather,tan brown,,Made in Italy,1,1690
Jimmy Choo,Bucket Bags,calf leather,burgundy,,Made in Italy,1,1601
Jacquemus,Tote Bags,leather,white,,,1,762
Alexander McQueen,Bucket Bags,calf leather,black/white,,Made in Italy,1,1690
Saint Laurent,Shoulder Bags,Made from smooth leather,Black,,Made in Italy,0,2700
Gucci,Shoulder Bags,,,,Made in Italy,0,3155
GANNI,Shoulder Bags,logo plaque,pink,New Season,,0,234
Love Moschino,Messenger & Crossbody Bags,,,,,0,105
STAND STUDIO,Tote Bags,black,parakeet green,,,0,287
Saint Laurent,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1990
Coach,Tote Bags,sheepskin,black,,,0,518
Versace Jeans Couture,Shoulder Bags,faux leather,khaki,,,1,221
MCM,Belt Bags,leather trim,cognac brown,,,0,664
Karl Lagerfeld,Messenger & Crossbody Bags,monogram pattern,jet black,,,0,139
Gucci,Shoulder Bags,leather,black,Conscious,Made in Italy,1,1670
MM6 Maison Margiela,Tote Bags,vegan leather,black,,,1,343
Versace Jeans Couture,Shoulder Bags,grained texture,fuchsia pink,,,0,115
Karl Lagerfeld,Shoulder Bags,calf leather,black/white,,,0,156
Hogan,Shoulder Bags,calf leather,black,,,0,414
Gucci,Shoulder Bags,leather/canvas,beige/brown,New Season,Made in Italy,1,1030
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,0,2700
Saint Laurent,Shoulder Bags,calf leather/brass,beige ,,Made in Italy,1,3200
Michael Michael Kors,Backpacks,,,,,0,336
Jacquemus,Tote Bags,gold-tone logo plaque,white,,Made in Italy,1,749
Jacquemus,Tote Bags,calf leather,brown,,Made in Italy,0,1067
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,black,,,1,153
Versace,Tote Bags,calf leather,claret,,Made in Italy,0,1457
Elleme,Shoulder Bags,calf leather,black,New Season,Made in Italy,0,524
Marc Jacobs,Messenger & Crossbody Bags,leather,khaki beige,,,0,432
Balenciaga,Messenger & Crossbody Bags,leather,pink,Conscious,Made in Italy,1,1200
Marc Jacobs,Bucket Bags,calf leather,brown,,,0,528
Saint Laurent,Clutch Bags,leather,black/gold-tone ,,Made in Italy,1,575
Jacquemus,Tote Bags,leather,black,,Made in Italy,1,750
Saint Laurent,Shoulder Bags,calf leather ,green ,,Made in Italy,1,3100
Proenza Schouler,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,1,1595
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,black,New Season,,0,255
Themoirè,Clutch Bags,faux leather,milk,Conscious,Made in Italy,0,209
Karl Lagerfeld,Bag Accessories,monogram pattern,black,,,0,55
Diesel,Shoulder Bags,calf leather,aqua green,New Season,,0,659
Monnalisa,Shoulder Bags,embroidered slogan,light pink,,,0,168
PINKO,Tote Bags,calf leather/recycled nylon,light pink,,,1,155
Karl Lagerfeld,Shoulder Bags,padded design,jet black,,,0,139
Versace Jeans Couture,Tote Bags,decorative buckle detailing,black,,,1,174
Jacquemus,Tote Bags,calf leather,brown,,Made in Italy,0,1086
Furla,Messenger & Crossbody Bags,leather,black,,,0,212
Karl Lagerfeld,Backpacks,recycled nylon,black,New Season,,1,278
Burberry,Tote Bags,cotton/leather,cream/brown,,Made in Italy,1,1297
Emporio Armani,Tote Bags,grained texture,white,,,0,214
PINKO,Messenger & Crossbody Bags,,,,,0,448
Acne Studios,Tote Bags,leather,black,,Made in Italy,0,995
Jacquemus,Tote Bags,calf leather,pink,,Made in Italy,0,743
Karl Lagerfeld,Shoulder Bags,padded design,chalk white,Conscious,,1,195
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,1,940
Paco Rabanne,Shoulder Bags,steel,silver-tone,,,1,707
Tory Burch,Messenger & Crossbody Bags,calf leather,black,,,0,1064
Karl Lagerfeld,Tote Bags,calf leather,dark red/off-white/light grey,,,0,223
Karl Lagerfeld,Luggage,cotton-blend,stone/black,,,0,446
Balenciaga,Shoulder Bags,calf leather,black,Conscious,Made in Italy,1,2400
AMI Paris,Belt Bags,calf hair,brown,,,1,241
Karl Lagerfeld,Backpacks,recycled nylon,black,Conscious,,1,139
Michael Michael Kors,Messenger & Crossbody Bags,,,,,0,224
Saint Laurent,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1790
Versace Jeans Couture,Tote Bags,baroque-pattern print,rose pink/multicolour,,,0,165
Versace Jeans Couture,Tote Bags,gold-tone,light pink,,,1,239
Saint Laurent,Tote Bags,,,,Made in Italy,0,2500
Gucci,Shoulder Bags,leather,beige,,Made in Italy,1,2350
Saint Laurent,Shoulder Bags,jersey knit,black,,Made in Italy,1,1850
Michael Michael Kors,Tote Bags,leather,black,,,0,462
Elisabetta Franchi,Mini Bags,logo shoulder strap,black,New Season,,0,312
Gucci,Mini Bags,,,,Made in Italy,0,1480
Balmain,Tote Bags,calf leather/cotton,khaki green/black,,Made in Italy,1,1085
Michael Michael Kors,Messenger & Crossbody Bags,jacquard logo motif,black/silver,,,0,255
Givenchy Kids,Tote Bags,calf leather,black,,,0,701
Marc Jacobs,Tote Bags,leather,brown,,,1,467
Saint Laurent,Shoulder Bags,leather,deep blue,,Made in Italy,1,3450
Saint Laurent,Clutch Bags,leather,black,,Made in Italy,1,981
Karl Lagerfeld,Shoulder Bags,calf leather,cloud white,,,0,212
A.P.C.,Shoulder Bags,leather/cotton,red,,,0,767
Marc Jacobs,Messenger & Crossbody Bags,leather,beige/multicolour,,,0,510
Michael Michael Kors,Messenger & Crossbody Bags,leather,black,,,0,140
Saint Laurent,Clutch Bags,leather,black,,Made in Italy,1,425
Diesel,Belt Bags,embroidered logo,olive green,Conscious,,0,78
Coach,Tote Bags,calf leather,beige,New Season,,0,396
Chiara Ferragni,Shoulder Bags,slub texture,pink,,,0,192
Coach,Tote Bags,monogram pattern,tan rust brown,New Season,,0,358
Versace Jeans Couture,Tote Bags,grained texture,black,,,1,215
Karl Lagerfeld,Shoulder Bags,silver-tone hardware,black,New Season,,0,278
Love Moschino,Messenger & Crossbody Bags,artificial leather,black,,,0,93
ETRO,Tote Bags,leather,black,,Made in Italy,0,1173
Saint Laurent,Shoulder Bags,leather,beige,,Made in Italy,1,2950
Saint Laurent,Shoulder Bags,patent leather,black,,Made in Italy,1,1850
Karl Lagerfeld,Tote Bags,leather,bubblegum pink,,,1,139
Coach,Tote Bags,calf leather,bold red,,,0,405
Coccinelle,Tote Bags,calf leather,pink,,,0,275
Saint Laurent,Clutch Bags,,,,Made in Italy,1,675
Chiara Ferragni,Belt Bags,metallic finish,rose pink,,,0,152
Karl Lagerfeld,Shoulder Bags,calf leather-recycled polyester blend,off-white,Conscious,,0,156
Karl Lagerfeld,Shoulder Bags,bouclé construction,black/white,,,0,167
Balenciaga,Tote Bags,leather,black ,Conscious,Made in Italy,0,1300
PINKO,Mini Bags,calf leather,bubblegum pink,,,0,126
Valentino Garavani,Shoulder Bags,leather,black,,Made in Italy,1,2766
Saint Laurent,Mini Bags,leather,beige,,Made in Italy,1,1990
Saint Laurent,Tote Bags,leather,black,,Made in Italy,1,2850
Karl Lagerfeld,Messenger & Crossbody Bags,leather,orange,,,0,165
Love Moschino,Tote Bags,gold-tone logo plaque,gold,,,1,128
Versace Jeans Couture,Shoulder Bags,faux leather,black,,,1,151
Versace Jeans Couture,Shoulder Bags,faux leather,black,New Season,,0,234
Gucci,Shoulder Bags,,,,Made in Italy,0,1980
Balenciaga,Tote Bags,lambskin,black,Conscious,Made in Italy,1,2150
Furla,Shoulder Bags,leather,black,,,0,181
Karl Lagerfeld,Tote Bags,calf leather,chocolate brown,,,0,167
Balenciaga,Messenger & Crossbody Bags,leather,soft lavender,Conscious,,1,1050
Omc,Messenger & Crossbody Bags,embossed logo to the front,black/pine green,,,0,97
Karl Lagerfeld,Messenger & Crossbody Bags,faux leather,black,,Made in Italy,1,195
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,avocado green,,,1,195
Michael Michael Kors,Tote Bags,leather,black,,,0,209
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,suba blue,,,0,167
Kurt Geiger London,Shoulder Bags,,,,,0,408
Isabel Marant,Clutch Bags,cotton,black,,,0,115
Furla,Shoulder Bags,leather,black,,,0,395
Zadig&Voltaire,Mini Bags,leather,silver-tone,,,0,200
YOUNG POETS,Shoulder Bags,calf leather,jet black,,,0,155
Zadig&Voltaire,Clutch Bags,,,,,0,270
Karl Lagerfeld,Tote Bags,calf leather,jet black,,,0,184
Vivienne Westwood,Messenger & Crossbody Bags,calf leather,red,Conscious,Made in Italy,0,593
PINKO,Mini Bags,calf leather,black,,,0,270
Jimmy Choo,Mini Bags,crystal embellishment,silver-tone,New Season,Made in Italy,1,2615
Chiara Ferragni,Clutch Bags,signature Eyelike motif,jet black,,,0,104
MM6 Maison Margiela,Tote Bags,carrot orange,black,New Season,,1,271
Balenciaga,Shoulder Bags,cracked texture,pink,Conscious,Made in Italy,1,2600
Marc Jacobs,Tote Bags,leather,light brown,,,1,719
Zadig&Voltaire,Clutch Bags,metal,silver,,Made in Italy,0,430
Acne Studios,Shoulder Bags,leather,camel brown,,Made in Italy,1,1053
SANDRO,Clutch Bags,lambskin,gold,,,1,238
STAND STUDIO,Tote Bags,lambskin,chocolate brown,,,1,507
Karl Lagerfeld,Shoulder Bags,padded design,black/multicolour,Conscious,,1,167
Karl Lagerfeld,Tote Bags,lambskin,cloud white,,,0,223
Karl Lagerfeld,Tote Bags,cotton,anthracite grey/multicolour,,,1,167
Furla,Shoulder Bags,leather,black,,Made in Italy,0,316
Michael Michael Kors,Messenger & Crossbody Bags,faux leather,black,,,0,247
Saint Laurent,Shoulder Bags,leather,grey,,Made in Italy,1,2950
Saint Laurent,Shoulder Bags,leather,dark brown,,Made in Italy,0,3150
Versace Jeans Couture,Messenger & Crossbody Bags,logo print to the front,black,,,1,184
Saint Laurent,Shoulder Bags,leather,deep marine,,Made in Italy,1,3200
Dolce & Gabbana,Shoulder Bags,leather,black,,Made in Italy,1,3042
JW Anderson,Belt Bags,all-over logo print,black,,,1,309
Balenciaga,Mini Bags,leather,forest green,Conscious,,1,1020
Versace Jeans Couture,Shoulder Bags,decorative buckle detail,pink,,,1,201
Karl Lagerfeld,Shoulder Bags,monogram plaque,white/black,,,1,251
Chiara Ferragni,Shoulder Bags,signature Eyelike motif,rose pink,,,0,172
JW Anderson,Shoulder Bags,leather,sage green,,,0,540
Love Moschino,Tote Bags,,,,,0,111
JW Anderson,Shoulder Bags,,,,,1,922
Jimmy Choo,Tote Bags,leather,tan brown,,Made in Italy,0,1000
Balenciaga,Tote Bags,leather,black,Conscious,,1,1350
Michael Michael Kors,Tote Bags,leather,naturals/corn,,,0,255
Karl Lagerfeld,Messenger & Crossbody Bags,recycled polyester blend,jet black,Conscious,,0,111
Jacquemus,Tote Bags,calf leather,brown,New Season,Made in Italy,0,907
Alexander McQueen,Bucket Bags,leather,ivory white/black,,Made in Italy,1,1790
Michael Michael Kors,Shoulder Bags,leather,camel,,,1,210
Chiara Ferragni,Backpacks,all-over motif embroidery,black,,,0,227
Alexander McQueen,Shoulder Bags,calf leather ,ivory white,,Made in Italy,1,2190
Saint Laurent,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,1,1754
Stella McCartney,Tote Bags,faux-leather,blue,Conscious,Made in Italy,1,835
Karl Lagerfeld,Bucket Bags,calf leather,lemon yellow,,,1,139
Karl Lagerfeld,Tote Bags,straw/leather,beige/brown,,,0,222
Proenza Schouler,Messenger & Crossbody Bags,calf leather,forest green,,Made in Italy,1,627
Marc Jacobs,Tote Bags,cotton,beige/grey,,,0,435
Saint Laurent,Messenger & Crossbody Bags,gold-tone logo plaque,peach pink,,Made in Italy,0,1450
Love Moschino,Tote Bags,faux leather,black,,,0,235
Marc Jacobs,Shoulder Bags,calf leather,light brown/beige,,,0,731
Jacquemus,Tote Bags,calf suede,navy blue,New Season,Made in Italy,0,640
Balenciaga,Shoulder Bags,leather,jade green,Conscious,Made in Italy,0,1120
Ferragamo,Messenger & Crossbody Bags,calf leather,jet black,,Made in Italy,0,1904
Coach,Shoulder Bags,calf leather,tan brown/rust brown,New Season,,0,579
PINKO,Shoulder Bags,calf leather,black,,,1,540
AMI Paris,Luggage,canvas/leather,black,,,1,358
Love Moschino,Clutch Bags,embossed crocodile effect,camel brown,,,0,78
MCM,Tote Bags,leather,misty gray visetos,,,0,541
Versace Jeans Couture,Tote Bags,calf hair,black,,,1,220
Coach,Tote Bags,fabric/leather,beige,,,0,363
Bimba y Lola,Tote Bags,logo patch to the front,bone white,,,1,119
Marc Jacobs,Tote Bags,cotton-blend,brown,,,1,420
Moschino,Backpacks,appliqué detail,black,,,1,407
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,light purple,,,1,197
BY FAR,Tote Bags,,,,,0,171
Marc Jacobs,Shoulder Bags,leather,wine red,,,0,620
PINKO,Shoulder Bags,calf leather,black,,,1,273
Saint Laurent,Clutch Bags,leather,off white,,Made in Italy,1,1790
Versace Jeans Couture,Messenger & Crossbody Bags,logo plaque,jet black,,,0,184
Balenciaga,Tote Bags,calf leather,silver-tone,Conscious,Made in Italy,1,1350
Balenciaga,Tote Bags,leather,black,Conscious,Made in Italy,0,1300
Themoirè,Tote Bags,faux leather,fuchsia pink,Conscious,Made in Italy,0,204
Alexander McQueen,Shoulder Bags,calf leather,black ,,Made in Italy,1,1290
